Category,First Word Letters,Number of Words,Phrase,Total Number of Letters
What Are You Doing,7,6,Backing Up My Music To Icloud,24
What Are You Doing,7,6,Backing Up My Photos To Icloud,25
What Are You Doing,11,3,Backpacking Across Europe,23
What Are You Doing,11,5,Backpacking In The Rocky Mountains,30
What Are You Doing,6,2,Baking & Snacking,14
What Are You Doing,6,5,Baking A Batch Of Cookies,21
What Are You Doing,6,7,Baking A Batch Of Green Sugar Cookies,31
What Are You Doing,6,4,Baking A Birthday Cake,19
What Are You Doing,6,3,Baking A Cake,11
What Are You Doing,6,3,Baking A Casserole,16
What Are You Doing,6,6,Baking A Delicious Banana Cream Pie,30
What Are You Doing,6,3,Baking A Fruitcake,16
What Are You Doing,6,4,Baking A Pot Roast,15
What Are You Doing,6,5,Baking A Turkey Pot Pie,19
What Are You Doing,6,3,Baking Butterscotch Shortbread,28
What Are You Doing,6,2,Baking Cookies,13
What Are You Doing,6,4,Baking Cookies & Watching Movies,27
What Are You Doing,6,4,Baking Cookies & Watching Movies?,28
What Are You Doing,6,4,Baking Cookies For Rudolf,22
What Are You Doing,6,4,Baking Cookies For Rudolph,23
What Are You Doing,6,5,Baking Cookies With My Mother,25
What Are You Doing,6,2,Baking Cupcakes,14
What Are You Doing,6,2,Baking Fish,10
What Are You Doing,6,3,Baking Mini- Pies,14
What Are You Doing,6,2,Baking Mini-Pies,14
What Are You Doing,6,3,Baking Pecan Pie,14
What Are You Doing,6,3,Baking Pumpkin Pies,17
What Are You Doing,6,2,Baking Treats,12
What Are You Doing,9,4,Balancing On One Foot,18
What Are You Doing,9,4,Balancing On One Leg,17
What Are You Doing,7,4,Banging Out A Tune,15
What Are You Doing,4,2,Bank Account,11
What Are You Doing,7,1,Banking,7
What Are You Doing,8,3,Baseball Training Camp,20
What Are You Doing,6,2,Basket Weaving,13
What Are You Doing,7,4,Basking In The Beach,17
What Are You Doing,7,4,Basking In The Sun,15
What Are You Doing,7,4,Basking On The Beach,17
What Are You Doing,7,3,Basting A Turkey,14
What Are You Doing,7,4,Bathing In The Sunshine,20
What Are You Doing,7,3,Bathing My Dog,12
What Are You Doing,12,1,Beachcombing,12
What Are You Doing,4,2,Bear Watching,12
What Are You Doing,7,5,Beating A Big Bass Drum,19
What Are You Doing,7,3,Beating Egg Yolks,15
What Are You Doing,7,5,Beating Eggs On Low Speed,21
What Are You Doing,7,3,Beating The Game,14
What Are You Doing,7,4,Beating The Highest Score,22
What Are You Doing,9,2,Beautiful Shawls,15
What Are You Doing,8,3,Becoming A Foodie,15
What Are You Doing,8,4,Becoming A Master Chef,19
What Are You Doing,8,3,Becoming An Astrophysicist,24
What Are You Doing,8,3,Becoming Fast Friends,19
What Are You Doing,8,3,Becoming More Flexible,20
What Are You Doing,8,2,Becoming Multilingual,20
What Are You Doing,10,2,Beer-Making Kit,13
What Are You Doing,9,7,Beginning A Rope Descent Of A Shaft,29
What Are You Doing,9,4,Beginning The New Year,19
What Are You Doing,8,4,Behaving Like A Professional,25
What Are You Doing,5,4,Being A Beach Bum,14
What Are You Doing,5,7,Being A Dolphin Trainer For A Day,27
What Are You Doing,5,7,Being A Dolphin Trainer For A Day?,28
What Are You Doing,5,7,Being A Dolphin Trainer In A Day,26
What Are You Doing,5,4,Being A Stylish Traveler,21
What Are You Doing,5,3,Being A Tourist,13
What Are You Doing,5,2,Being Active,11
What Are You Doing,5,5,Being Chased By The Wolfman,23
What Are You Doing,5,6,Being Discovered By A Movie Producer,31
What Are You Doing,5,5,Being Hit By Cupid's Arrow,21
What Are You Doing,5,4,Being Near Loved Ones,18
What Are You Doing,5,6,Being Nervous On A First Date,24
What Are You Doing,5,2,Being Playful,12
What Are You Doing,5,2,Being Social,11
What Are You Doing,5,3,Being Spoiled & Pampered,20
What Are You Doing,5,4,Being Swarmed By Paparazzi,23
What Are You Doing,5,4,Being Treated Like Royalty,23
What Are You Doing,5,4,Being With Loved Ones,18
What Are You Doing,7,3,Bending A Spoon,13
What Are You Doing,7,5,Betting On My Lucky Number,22
What Are You Doing,7,4,Betting On The Game,16
What Are You Doing,7,4,Betting On The Horses,18
What Are You Doing,6,5,Biking Along The Rogue River,24
What Are You Doing,6,4,Biking Around The City,19
What Are You Doing,6,5,Biking From Durango To Moab,23
What Are You Doing,6,3,Biking To Work,12
What Are You Doing,6,3,Biking To Workout,15
What Are You Doing,5,5,Binge Watching My Favorite Show,27
What Are You Doing,5,6,Binge- Watching My Favorite Tv Show,29
What Are You Doing,11,1,Binge-Eating,11
What Are You Doing,13,1,Binge-Watching,13
What Are You Doing,13,4,Binge-Watching My Favorite Show,27
What Are You Doing,13,4,Binge-Watching My Favorite Shows,28
What Are You Doing,13,5,Binge-Watching My Favorite Tv Show,29
What Are You Doing,13,7,Binge-Watching The Entire Season Of A Show,35
What Are You Doing,13,5,Binge-Watching The First Seven Seasons,33
What Are You Doing,13,3,Binge-Watching True Blood,22
What Are You Doing,12,5,Bing-Watching The First Seven Seasons,32
What Are You Doing,4,2,Bird Watching,12
What Are You Doing,4,5,Bird Watching At Haystack Rock,26
What Are You Doing,12,4,Birdwatching In The Park,21
What Are You Doing,6,5,Biting Into A Juicy Hamburger,25
What Are You Doing,6,3,Biting My Tongue,14
What Are You Doing,8,4,Blasting An Air Horn,17
What Are You Doing,8,3,Blasting My Music,15
What Are You Doing,8,2,Blending Colors,14
What Are You Doing,8,2,Blending Spices,14
What Are You Doing,7,3,Blowing A Fuse,12
What Are You Doing,7,3,Blowing A Kiss,12
What Are You Doing,7,2,Blowing Bubbles,14
What Are You Doing,7,2,Blowing Kisses,13
What Are You Doing,7,4,Blowing My Whole Paycheck,22
What Are You Doing,7,4,Blowing Off Some Steam,19
What Are You Doing,7,8,Blowing Out The Candles And Making A Wish,34
What Are You Doing,7,8,Blowing Out The Candles On My Birthday Cake,36
What Are You Doing,7,5,Blowing Up An Inner Tube,20
What Are You Doing,7,3,Blowing Up Balloons,17
What Are You Doing,7,4,Blowing You A Kiss,15
What Are You Doing,8,1,Bluffing,8
What Are You Doing,8,3,Boarding A Bus,12
What Are You Doing,8,3,Boarding A Jet,12
What Are You Doing,7,5,Boating On The Open Water,21
What Are You Doing,7,4,Boating Through Rough Water,24
What Are You Doing,7,3,Bobbing For Apples,16
What Are You Doing,11,1,Bodysurfing,11
What Are You Doing,11,5,Bodysurfing At Newport Beach California,35
What Are You Doing,7,2,Boiling Butter,13
What Are You Doing,7,3,Booking A Flight,14
What Are You Doing,7,5,Booking A Flight To Mexico,22
What Are You Doing,7,4,Booking A Holiday Bungalow,23
What Are You Doing,7,3,Booking A Hotel,13
What Are You Doing,7,4,Booking A Hotel Room,17
What Are You Doing,7,5,Booking A Luxurious Hotel Room,26
What Are You Doing,7,4,Booking A Massage Online,21
What Are You Doing,7,7,Booking A Night At A Beachside Hotel,30
What Are You Doing,7,7,Booking A Night In A Beachside Hotel,30
What Are You Doing,7,4,Booking A Plane Ticket,19
What Are You Doing,7,3,Booking A Room,12
What Are You Doing,7,4,Booking A Vacation Package,23
What Are You Doing,7,2,Booking Directly,15
What Are You Doing,7,3,Booking My Flight,15
What Are You Doing,7,5,Booking My Flight To India,22
What Are You Doing,11,4,Bookmarking A Web Link,19
What Are You Doing,8,2,Boosting Morale,14
What Are You Doing,9,2,Borrowing & Sharing,16
What Are You Doing,9,3,Borrowing A Book,14
What Are You Doing,9,4,Borrowing My Friend's Car,21
What Are You Doing,6,4,Bottle Feeding Baby Animals,24
What Are You Doing,13,3,Bottle-Feeding Baby Animals,24
What Are You Doing,10,6,Bouldering In Hueco Tanks State Park,31
What Are You Doing,8,2,Bouncing Up-And-Down,17
What Are You Doing,6,3,Bowing In Greeting,16
What Are You Doing,6,4,Bowing To A King,13
What Are You Doing,8,3,Braiding My Hair,14
What Are You Doing,13,1,Brainstorming,13
What Are You Doing,7,3,Braving The Cold,14
What Are You Doing,8,4,Breaking All The Rules,19
What Are You Doing,8,4,Breaking An Old Habit,18
What Are You Doing,8,4,Breaking For Photo Ops,19
What Are You Doing,8,7,Breaking In A New Pair Of Sandals,27
What Are You Doing,8,4,Breaking Open A Pinata,19
What Are You Doing,8,4,Breaking Open The Pinata,21
What Are You Doing,8,4,Breaking Our Photo Ops,19
What Are You Doing,8,3,Breaking The Ice,14
What Are You Doing,9,3,Breathing Fresh Air,17
What Are You Doing,9,2,Breathing Heavily,16
What Are You Doing,9,5,Breathing In Some Fresh Air,23
What Are You Doing,9,4,Breathing Through My Nose,22
What Are You Doing,7,7,Brewing A Batch Of Peach Iced Tea,27
What Are You Doing,7,6,Brewing A Single Cup Of Coffee,25
What Are You Doing,7,2,Brewing Coffee,13
What Are You Doing,7,3,Brewing Fresh Espresso,20
What Are You Doing,7,3,Brewing Ice Tea,13
What Are You Doing,7,3,Brewing Iced Tea,14
What Are You Doing,7,2,Brewing Tea,10
What Are You Doing,5,3,Brick Wall Art,12
What Are You Doing,5,2,Brief Chat,9
What Are You Doing,6,3,Bright Led Lights,15
What Are You Doing,11,4,Brightening Up The Room,20
What Are You Doing,5,6,Bring A Gift To The Hostess,22
What Are You Doing,8,6,Bringing A Gift To The Hostess,25
What Are You Doing,8,4,Bringing Home A Souvenir,21
What Are You Doing,8,5,Bringing Water To A Simmer,22
What Are You Doing,8,7,Bringing What I Can To The Table,26
What Are You Doing,10,3,Broadening My Horizons,20
What Are You Doing,8,3,Browning Chicken Thighs,21
What Are You Doing,8,2,Browning Tortillas,17
What Are You Doing,8,1,Browsing,8
What Are You Doing,8,2,Browsing Around,14
What Are You Doing,8,3,Browsing Fine Art,15
What Are You Doing,8,3,Browsing For Antiques,19
What Are You Doing,8,4,Browsing In The Bookstore,22
What Are You Doing,8,3,Browsing The Web,14
What Are You Doing,8,6,Brushing Flour Out Of My Hair,24
What Are You Doing,7,1,Buffalo,7
What Are You Doing,7,3,Buffing Waxed-Stone Floors,23
What Are You Doing,0,0,0,0
What Are You Doing,7,3,Buffing Waxed-Stoned Floors,24
What Are You Doing,7,3,Bugging An Office,15
What Are You Doing,7,3,Bugging Waxed-Stone Floors,23
What Are You Doing,8,3,Building A Bonfire,16
What Are You Doing,8,3,Building A Campfire,17
What Are You Doing,8,3,Building A Family,15
What Are You Doing,8,3,Building A Fire,13
What Are You Doing,8,5,Building A Fort With Blankets,25
What Are You Doing,8,5,Building A House With Legos,23
What Are You Doing,8,4,Building A Jigsaw Puzzle,21
What Are You Doing,8,4,Building A Log Cabin,17
What Are You Doing,8,3,Building A Robot,14
What Are You Doing,8,6,Building A Sandcastle At The Beach,29
What Are You Doing,8,6,Building A Sandcastle On The Beach,29
What Are You Doing,8,6,Building A Sandcastle On The Shore,29
What Are You Doing,8,4,Building A Snow Fort,17
What Are You Doing,8,3,Building A Snowman,16
What Are You Doing,8,6,Building A Snowman In The Backyard,29
What Are You Doing,8,4,Building A Tree House,18
What Are You Doing,8,3,Building A Treehouse,18
What Are You Doing,8,4,Building A Wine Cellar,19
What Are You Doing,8,4,Building A Wooden Shelf,20
What Are You Doing,8,3,Building An Igloo,15
What Are You Doing,8,4,Building An Indoor Fort,20
What Are You Doing,8,4,Building An Outdoor Shower,23
What Are You Doing,8,2,Building Bookshelves,19
What Are You Doing,8,5,Building Castles In The Sand,24
What Are You Doing,8,3,Building Kitchen Cupboards,24
What Are You Doing,8,2,Building Models,14
What Are You Doing,8,2,Building Muscle,14
What Are You Doing,8,5,Building Muscle By Lifting Weights,30
What Are You Doing,8,4,Building My Dream Home,19
What Are You Doing,8,3,Building My Office,16
What Are You Doing,8,3,Building My Vocabulary,20
What Are You Doing,8,5,Building Rapport With My Coworkers,30
What Are You Doing,8,4,Building Relationships That Last,29
What Are You Doing,8,2,Building Sandcastles,19
What Are You Doing,8,6,Building The Home Of My Dreams,25
What Are You Doing,7,2,Bumping Heads,12
What Are You Doing,8,8,Bundling Up To Go Out In The Cold,26
What Are You Doing,7,3,Burning Bamboo Sticks,19
What Are You Doing,7,2,Burning Calories,15
What Are You Doing,7,2,Burning Dinner,13
What Are You Doing,7,4,Burying A Time Capsule,19
What Are You Doing,7,7,Busting A Move On The Dance Floor,27
What Are You Doing,6,6,Buying A Baker's Dozen Of Cookies,27
What Are You Doing,6,4,Buying A Bird Feeder,17
What Are You Doing,6,3,Buying A Book,11
What Are You Doing,6,4,Buying A Bus Ticket,16
What Are You Doing,6,3,Buying A Car,10
What Are You Doing,6,6,Buying A Card For My Dad,19
What Are You Doing,6,4,Buying A Cityhopper Ticket,23
What Are You Doing,6,4,Buying A Designer Dress,20
What Are You Doing,6,4,Buying A Dozen Roses,17
What Are You Doing,6,8,Buying A First Edition Of My Favorite Book,35
What Are You Doing,6,3,Buying A Gift,11
What Are You Doing,6,4,Buying A Green Car,15
What Are You Doing,6,3,Buying A Home,11
What Are You Doing,6,4,Buying A Homemade Bikini,21
What Are You Doing,6,7,Buying A Hot Dog Along The Waterfront,31
What Are You Doing,6,3,Buying A House,12
What Are You Doing,6,6,Buying A Limited Edition Action Figure,33
What Are You Doing,6,5,Buying A Limited-Edition Action Figure,33
What Are You Doing,6,4,Buying A Lottery Ticket,20
What Are You Doing,6,7,Buying A Map Of The Stars' Homes,25
What Are You Doing,6,6,Buying A Masterpiece At An Auction,29
What Are You Doing,6,5,Buying A Must Have Cookbook,23
What Are You Doing,6,4,Buying A Must-Have Cookbook,23
What Are You Doing,6,4,Buying A New Backpack,18
What Are You Doing,6,4,Buying A New Car,13
What Are You Doing,6,4,Buying A New Coat,14
What Are You Doing,6,4,Buying A New Computer,18
What Are You Doing,6,4,Buying A New Cookbook,18
What Are You Doing,6,4,Buying A New Dress,15
What Are You Doing,6,4,Buying A New Fiat,14
What Are You Doing,6,4,Buying A New Gadget,16
What Are You Doing,6,4,Buying A New Handbag,17
What Are You Doing,6,4,Buying A New Home,14
What Are You Doing,6,4,Buying A New Ipad,14
What Are You Doing,6,4,Buying A New Laptop,16
What Are You Doing,6,5,Buying A New Mobile Phone,21
What Are You Doing,6,4,Buying A New Outfit,16
What Are You Doing,6,6,Buying A New Pair Of Jeans,21
What Are You Doing,6,6,Buying A New Pair Of Shoes,21
What Are You Doing,6,5,Buying A New Portable Heater,24
What Are You Doing,6,5,Buying A New Rice Cooker,20
What Are You Doing,6,6,Buying A New Set Of Dishes,21
What Are You Doing,6,4,Buying A New Skillet,17
What Are You Doing,6,4,Buying A New Stove,15
What Are You Doing,6,4,Buying A New Swimsuit,18
What Are You Doing,6,4,Buying A New Tablet,16
What Are You Doing,6,4,Buying A New Wardrobe,18
What Are You Doing,6,6,Buying A New Wardrobe At Gap,23
What Are You Doing,6,9,Buying A New Wardrobe For The New School Year,37
What Are You Doing,6,7,Buying A Painting From A Local Artist,31
What Are You Doing,6,4,Buying A Park Pass,15
What Are You Doing,6,4,Buying A Pearl Brooch,18
What Are You Doing,6,4,Buying A Plane Ticket,18
What Are You Doing,6,3,Buying A Present,14
What Are You Doing,6,5,Buying A Roll Of Quarters,21
What Are You Doing,6,5,Buying A Round For Everyone,23
What Are You Doing,6,6,Buying A Round-Trip Plane Ticket Home,31
What Are You Doing,6,4,Buying A Smart Tv,14
What Are You Doing,6,3,Buying A Souvenir,15
What Are You Doing,6,7,Buying A Sweet Treat At Cupcake Royale,32
What Are You Doing,6,7,Buying A Trinket At A Hippie Fair,27
What Are You Doing,6,4,Buying A Unique Collectable,24
What Are You Doing,6,4,Buying A Unique Collectible,24
What Are You Doing,6,4,Buying A Used Textbook,19
What Are You Doing,6,3,Buying A Vowel,12
What Are You Doing,6,3,Buying A Watch,12
What Are You Doing,6,3,Buying A Wetsuit,14
What Are You Doing,6,4,Buying An Oil Well,15
What Are You Doing,6,4,Buying An Underwater Camera,24
What Are You Doing,6,3,Buying Anime Stationary,21
What Are You Doing,6,3,Buying Art Supplies,17
What Are You Doing,6,2,Buying Books,11
What Are You Doing,6,3,Buying Camping Equipment,22
What Are You Doing,6,3,Buying Candy & Nuts,15
What Are You Doing,6,4,Buying Candy In Bulk,17
What Are You Doing,6,5,Buying Clothes On The Internet,26
What Are You Doing,6,7,Buying Cold Drinks For A Housewarming Party,37
What Are You Doing,6,3,Buying Comfortable Shoes,22
What Are You Doing,6,4,Buying Commercial Real Estate,26
What Are You Doing,6,3,Buying Concert Tickets,20
What Are You Doing,6,2,Buying Cupcakes,14
What Are You Doing,6,2,Buying Curtains,14
What Are You Doing,6,3,Buying Custom Cabinets,20
What Are You Doing,6,3,Buying Exquisite Souvenirs,24
What Are You Doing,6,6,Buying Food From A Street Vendor,27
What Are You Doing,6,4,Buying Food In Bulk,16
What Are You Doing,6,4,Buying Front-Row Concert Tickets,28
What Are You Doing,6,2,Buying Groceries,15
What Are You Doing,6,3,Buying In Bulk,12
What Are You Doing,6,6,Buying Ingredients To Make A Meal,28
What Are You Doing,6,3,Buying Local Produce,18
What Are You Doing,6,4,Buying Locally Made Products,25
What Are You Doing,6,5,Buying Lunch For My Friends,23
What Are You Doing,6,3,Buying My Metrocard,17
What Are You Doing,6,6,Buying My Tickets For The Show,25
What Are You Doing,6,5,Buying New Clothes For School,25
What Are You Doing,6,3,Buying New Cookware,17
What Are You Doing,6,4,Buying New Fuzzy Slippers,22
What Are You Doing,6,4,Buying New Golf Equipment,22
What Are You Doing,6,3,Buying New Jeans,14
What Are You Doing,6,4,Buying New Kitchen Gadgets,23
What Are You Doing,6,4,Buying New Kitchen Supplies,24
What Are You Doing,6,3,Buying New Luggage,16
What Are You Doing,6,4,Buying New Outdoor Furniture,25
What Are You Doing,6,5,Buying New Outdoor Patio Furniture,30
What Are You Doing,6,4,Buying New Running Shoes,21
What Are You Doing,6,4,Buying New School Clothes,22
What Are You Doing,6,3,Buying New Shoes,14
What Are You Doing,6,3,Buying New Software,17
What Are You Doing,6,3,Buying New Sunglasses,19
What Are You Doing,6,3,Buying Office Supplies,20
What Are You Doing,6,3,Buying Old Books,14
What Are You Doing,6,3,Buying Property Dirt-Cheap,23
What Are You Doing,6,4,Buying Rock Concert Tickets,24
What Are You Doing,6,3,Buying Rock-Concert Tickets,24
What Are You Doing,6,3,Buying Running Shoes,18
What Are You Doing,6,3,Buying Show Tickets,17
What Are You Doing,6,4,Buying Slaves With Salt,20
What Are You Doing,6,4,Buying Something Through Paypal,28
What Are You Doing,6,2,Buying Souvenirs,15
What Are You Doing,6,6,Buying Souvenirs At A Morning Market,31
What Are You Doing,6,4,Buying Sporting Event Tickets,26
What Are You Doing,6,3,Buying Stocking Stuffers,22
What Are You Doing,6,3,Buying Summer Essentials,22
What Are You Doing,6,6,Buying Tacos From A Street Vendor,28
What Are You Doing,6,2,Buying Textbooks,15
What Are You Doing,6,4,Buying The Cheapest Brand,22
What Are You Doing,6,5,Buying The Perfect Christmas Tree,29
What Are You Doing,6,4,Buying The Perfect Gift,20
What Are You Doing,6,5,Buying Things From A Catalog,24
What Are You Doing,6,4,Buying Tickets In Advance,22
What Are You Doing,6,3,Buying Tickets Online,19
What Are You Doing,6,7,Buying Tickets To Ride The Ferris Wheel,33
What Are You Doing,6,6,Buying Tickets To The Big Event,26
What Are You Doing,6,5,Buying Tickets To The Carnival,26
What Are You Doing,6,5,Buying Tickets To The Theater,25
What Are You Doing,6,6,Buying Tile Art As A Souvenir,24
What Are You Doing,6,2,Buying Time,10
What Are You Doing,6,4,Buying You A Drink,15
What Are You Doing,6,4,Buying You A Souvenir,18
What Are You Doing,6,4,Buying You Some Souvenir,21
What Are You Doing,6,4,Buying You Some Souvenirs,22
What Are You Doing,6,4,Buying Your Birthday Present,25
What Are You Doing,7,3,Calling A Time-Out,15
What Are You Doing,7,3,Calling Customer Service,22
What Are You Doing,7,2,Calling Home,11
What Are You Doing,7,4,Calling It A Night,15
What Are You Doing,7,3,Calling It Quits,14
What Are You Doing,7,1,Camping,7
What Are You Doing,7,5,Camping At A National Park,22
What Are You Doing,7,5,Camping At A State Park,19
What Are You Doing,7,6,Camping At Camp Lookout State Park,29
What Are You Doing,7,6,Camping At Cape Lookout State Park,29
What Are You Doing,7,5,Camping In A National Forest,24
What Are You Doing,7,4,Camping In A Yurt,14
What Are You Doing,7,4,Camping In The Everglades,22
What Are You Doing,7,5,Camping In The National Forests,27
What Are You Doing,7,5,Camping Near The Great Wall,23
What Are You Doing,7,10,Camping Out Overnight To Be The First One In Line,40
What Are You Doing,7,4,Camping Under The Stars,20
What Are You Doing,8,2,Canoeing & Fishing,15
What Are You Doing,8,4,Canoeing Down A River,18
What Are You Doing,8,5,Canoeing Down The Gila River,24
What Are You Doing,8,6,Canoeing The Boundary Waters In Minnesota,36
What Are You Doing,10,4,Canvassing An Entire Block,23
What Are You Doing,9,5,Carefully Checking The Facts & Claims,31
What Are You Doing,9,3,Carefully Following Instructions,30
What Are You Doing,9,5,Carefully Reading A Road Map,24
What Are You Doing,8,4,Carlsbad Cavern National Park,26
What Are You Doing,8,4,Carlsbad Caverns National Park,27
What Are You Doing,8,4,Carlsbad Caverns National Park?,28
What Are You Doing,10,1,Carpooling,10
What Are You Doing,10,3,Carpooling With Coworkers,23
What Are You Doing,8,5,Carrying A Bottle Of Water,22
What Are You Doing,8,4,Carrying A Full Load,17
What Are You Doing,8,6,Carrying Coconuts In A Head Basket,29
What Are You Doing,8,3,Carrying Folding Chairs,21
What Are You Doing,8,3,Carrying My Briefcase,19
What Are You Doing,8,7,Carrying My Girlfriend's Books Home From School,40
What Are You Doing,8,4,Carrying My Luggage Onboard,24
What Are You Doing,8,3,Carrying The Day,14
What Are You Doing,7,3,Carving A Pumpkin,15
What Are You Doing,7,3,Cashing A Check,13
What Are You Doing,7,4,Cashing In My Chips,16
What Are You Doing,7,6,Casting A Line Into A River,22
What Are You Doing,7,4,Casting A Magic Spell,18
What Are You Doing,7,3,Casting A Spell,13
What Are You Doing,7,3,Casting Enchanting Spells,23
What Are You Doing,7,3,Casting My Vote,13
What Are You Doing,7,2,Catalog Shopping,15
What Are You Doing,8,4,Catching A Fly Ball,16
What Are You Doing,8,4,Catching A Pop Fly,15
What Are You Doing,8,4,Catching An Early Flight,21
What Are You Doing,8,2,Catching Butterflies,19
What Are You Doing,8,2,Catching Fireflies,17
What Are You Doing,8,3,Catching Lightning Bugs,21
What Are You Doing,8,5,Catching Snowflakes On My Tongue,28
What Are You Doing,8,4,Catching The Early Flight,22
What Are You Doing,8,7,Catching The Ferry At Liberty State Park,34
What Are You Doing,8,8,Catching The Redeye From La To New York,32
What Are You Doing,8,5,Catching Up On My Reading,21
What Are You Doing,8,6,Catching Up With An Old Friend,25
What Are You Doing,8,5,Catching Up With Old Friends,24
What Are You Doing,6,4,Caving In Puerto Rico,18
What Are You Doing,6,4,Caving In Puerto Rico.,18
What Are You Doing,11,1,Celebrating,11
What Are You Doing,11,4,Celebrating A Friend's Birthday,27
What Are You Doing,11,3,Celebrating A Holiday,19
What Are You Doing,11,4,Celebrating A National Holiday,27
What Are You Doing,11,4,Celebrating A Special Occasion,27
What Are You Doing,11,5,Celebrating At A Five-Star Restaurant,32
What Are You Doing,11,5,Celebrating At My Favorite Restaurant,33
What Are You Doing,11,4,Celebrating Baby's First Birthday,29
What Are You Doing,11,2,Celebrating Big,14
What Are You Doing,11,3,Celebrating Boxing Day,20
What Are You Doing,11,3,Celebrating Canada Day,20
What Are You Doing,11,3,Celebrating Child's Graduation,27
What Are You Doing,11,4,Celebrating Chinese New Year,25
What Are You Doing,11,4,Celebrating Christmas In Style,27
What Are You Doing,11,2,Celebrating Family,17
What Are You Doing,11,3,Celebrating Family Traditions,27
What Are You Doing,11,3,Celebrating Groundhog Day,23
What Are You Doing,11,2,Celebrating Hanukkah,19
What Are You Doing,11,3,Celebrating Irish Culture,23
What Are You Doing,11,3,Celebrating Mardi Gras,20
What Are You Doing,11,3,Celebrating Our Anniversary,25
What Are You Doing,11,3,Celebrating Our Independence,26
What Are You Doing,11,4,Celebrating Our Nation's Independence,33
What Are You Doing,11,4,Celebrating St. Patrick's Day,24
What Are You Doing,11,4,Celebrating The Holiday Season,27
What Are You Doing,11,3,Celebrating The Holidays,22
What Are You Doing,11,6,Celebrating The Holidays With My Family,34
What Are You Doing,11,4,Celebrating The Spring Festival,28
What Are You Doing,11,4,Celebrating The Winter Solstice,28
What Are You Doing,11,3,Celebrating Your Birthday,23
What Are You Doing,8,4,Changing A Light Bulb,18
What Are You Doing,8,3,Changing Bad Habits,17
What Are You Doing,8,2,Changing Careers,15
What Are You Doing,8,2,Changing Course,14
What Are You Doing,8,4,Changing Into A Robe,17
What Are You Doing,8,2,Changing Lanes,13
What Are You Doing,8,3,Changing My Mind,14
What Are You Doing,8,7,Changing My Oil And Checking My Fluids,32
What Are You Doing,8,3,Changing My Passport,18
What Are You Doing,8,3,Changing My Password,18
What Are You Doing,8,4,Changing My Profile Picture,24
What Are You Doing,8,3,Changing My Story,15
What Are You Doing,8,3,Changing My Viewpoint,19
What Are You Doing,8,4,Changing The Baby's Diapers,23
What Are You Doing,8,6,Changing The Oil In Your Car,23
What Are You Doing,10,4,Channeling My Inner Nerd,21
What Are You Doing,14,1,Channel-Surfing,14
What Are You Doing,8,4,Charging My Electric Car,21
What Are You Doing,8,7,Charging My Electric Car At A Greenlot,32
What Are You Doing,10,6,Chartering A Boat For The Weekend,28
What Are You Doing,10,4,Chartering A Private Boat,22
What Are You Doing,10,4,Chartering A Private Jet,21
What Are You Doing,7,5,Chasing An Ice Cream Truck,22
What Are You Doing,7,2,Chasing Fireflies,16
What Are You Doing,8,8,Chatting On The Phone With A Good Friend,33
What Are You Doing,8,2,Chatting Online,14
What Are You Doing,8,4,Chatting With A Friend,19
What Are You Doing,8,5,Chatting With A Local Intellectual,30
What Are You Doing,8,3,Chatting With Friends,19
What Are You Doing,8,3,Chatting With Guests,18
What Are You Doing,8,3,Checking A Box,12
What Are You Doing,8,3,Checking For Typos,16
What Are You Doing,8,4,Checking In On Facebook,20
What Are You Doing,8,3,Checking In Online,16
What Are You Doing,8,3,Checking My Credit,16
What Are You Doing,8,3,Checking My Email,15
What Are You Doing,8,7,Checking My Email While Getting A Pedicure,36
What Are You Doing,8,3,Checking My Horoscope,19
What Are You Doing,8,3,Checking My Pockets,17
What Are You Doing,8,5,Checking My School's Academic Calendar,33
What Are You Doing,8,4,Checking My Tire Pressure,22
What Are You Doing,8,7,Checking Out A Book For Two Weeks,27
What Are You Doing,8,5,Checking Out A Good Book,20
What Are You Doing,8,8,Checking Out A Good Book For Two Weeks,31
What Are You Doing,8,4,Checking Out A Telescope,21
What Are You Doing,8,4,Checking Out Street Art,20
What Are You Doing,8,5,Checking The Calendar Of Events,27
What Are You Doing,8,3,Checking The Mail,15
What Are You Doing,8,5,Checking The Ski & Snow Report,24
What Are You Doing,8,6,Checking Things Off My To-Do List,27
What Are You Doing,8,6,Checking Things Off Of My List,25
What Are You Doing,8,5,Cheering For A Fellow Contestant,28
What Are You Doing,8,6,Cheering For My Favorite Soccer Team,31
What Are You Doing,8,5,Cheering For My Favorite Team,25
What Are You Doing,8,4,Cheering For The Bears,19
What Are You Doing,8,5,Cheering For The Bobsled Team,25
What Are You Doing,8,5,Cheering For The Home Team,22
What Are You Doing,8,4,Cheering From The Sidelines,24
What Are You Doing,8,5,Cheering On My Favorite Team,24
What Are You Doing,8,6,Cheering On Our Favorite Baseball Team,33
What Are You Doing,7,4,Chewing Bazooka Bubble Gum,23
What Are You Doing,7,2,Chewing Bubblegum,16
What Are You Doing,7,2,Chewing Gum,10
What Are You Doing,7,2,Chewing Loudly,13
What Are You Doing,7,6,Chewing On A Piece Of Straw,22
What Are You Doing,7,2,Chewing Quietly,14
What Are You Doing,8,2,Chilling Out,11
What Are You Doing,8,5,Chilling Out On The Beach,21
What Are You Doing,8,5,Chipping In A Few Bucks,19
What Are You Doing,12,3,Chitchatting With Locals,22
